Date,Open,High,Low,Close,Adj Close,Volume
"Dec 31, 2022","16,603.67","16,628.99","16,517.52","16,547.50","16,547.50","11,239,186,456"
"Dec 30, 2022","16,641.33","16,643.43","16,408.47","16,602.59","16,602.59","15,929,162,910"
"Dec 29, 2022","16,552.32","16,651.76","16,508.68","16,642.34","16,642.34","14,472,237,479"
"Dec 28, 2022","16,716.40","16,768.17","16,497.56","16,552.57","16,552.57","17,005,713,920"
"Dec 27, 2022","16,919.29","16,959.85","16,642.07","16,717.17","16,717.17","15,748,580,239"
"Dec 26, 2022","16,842.25","16,920.12","16,812.37","16,919.80","16,919.80","11,886,957,804"
"Dec 25, 2022","16,847.51","16,860.55","16,755.25","16,841.99","16,841.99","11,656,379,938"
"Dec 24, 2022","16,796.98","16,864.70","16,793.53","16,847.76","16,847.76","9,744,636,213"
"Dec 23, 2022","16,829.64","16,905.22","16,794.46","16,796.95","16,796.95","15,329,265,213"
"Dec 22, 2022","16,818.38","16,866.67","16,592.41","16,830.34","16,830.34","16,441,573,050"
"Dec 21, 2022","16,904.53","16,916.80","16,755.91","16,817.54","16,817.54","14,882,945,045"
"Dec 20, 2022","16,441.79","17,012.98","16,427.87","16,906.30","16,906.30","22,722,096,615"
"Dec 19, 2022","16,759.04","16,807.53","16,398.14","16,439.68","16,439.68","17,221,074,814"
"Dec 18, 2022","16,795.61","16,815.39","16,697.82","16,757.98","16,757.98","10,924,354,698"
"Dec 17, 2022","16,646.98","16,800.59","16,614.03","16,795.09","16,795.09","14,463,581,825"
"Dec 16, 2022","17,364.55","17,505.53","16,584.70","16,647.48","16,647.48","24,031,608,960"
"Dec 15, 2022","17,813.64","17,846.74","17,322.59","17,364.87","17,364.87","20,964,448,341"
"Dec 14, 2022","17,782.07","18,318.53","17,739.51","17,815.65","17,815.65","25,534,481,470"
"Dec 13, 2022","17,206.44","17,930.09","17,111.76","17,781.32","17,781.32","26,634,741,631"
"Dec 12, 2022","17,102.50","17,212.56","16,899.39","17,206.44","17,206.44","19,617,581,341"
"Dec 11, 2022","17,129.71","17,245.63","17,091.82","17,104.19","17,104.19","14,122,486,832"
"Dec 10, 2022","17,134.22","17,216.83","17,120.68","17,128.72","17,128.72","12,706,781,969"
"Dec 09, 2022","17,232.15","17,280.55","17,100.84","17,133.15","17,133.15","20,328,426,366"
"Dec 08, 2022","16,847.35","17,267.92","16,788.78","17,233.47","17,233.47","20,496,603,770"
"Dec 07, 2022","17,089.51","17,109.38","16,750.56","16,848.13","16,848.13","19,675,404,389"
"Dec 06, 2022","16,975.24","17,091.86","16,939.92","17,089.50","17,089.50","19,889,922,369"
"Dec 05, 2022","17,128.89","17,378.15","16,922.43","16,974.83","16,974.83","22,209,086,834"
"Dec 04, 2022","16,908.17","17,157.77","16,903.44","17,130.49","17,130.49","16,824,520,830"
"Dec 03, 2022","17,090.10","17,116.04","16,888.14","16,908.24","16,908.24","16,217,776,704"
"Dec 02, 2022","16,968.68","17,088.66","16,877.88","17,088.66","17,088.66","19,539,705,127"
"Dec 01, 2022","17,168.00","17,197.50","16,888.39","16,967.13","16,967.13","22,895,392,882"
"Nov 30, 2022","16,445.48","17,190.94","16,445.48","17,168.57","17,168.57","29,523,576,583"
"Nov 29, 2022","16,217.64","16,522.26","16,139.40","16,444.98","16,444.98","23,581,685,468"
"Nov 28, 2022","16,440.22","16,482.93","16,054.53","16,217.32","16,217.32","27,743,025,156"
"Nov 27, 2022","16,463.88","16,594.41","16,437.03","16,444.63","16,444.63","20,443,898,509"
"Nov 26, 2022","16,521.58","16,666.86","16,416.23","16,464.28","16,464.28","18,000,008,764"
"Nov 25, 2022","16,602.27","16,603.32","16,388.40","16,521.84","16,521.84","18,678,255,976"
"Nov 24, 2022","16,611.64","16,771.47","16,501.77","16,604.46","16,604.46","26,129,037,414"
"Nov 23, 2022","16,195.59","16,638.19","16,170.50","16,610.71","16,610.71","32,958,875,628"
"Nov 22, 2022","15,782.30","16,253.05","15,656.61","16,189.77","16,189.77","30,726,828,760"
"Nov 21, 2022","16,291.22","16,291.22","15,599.05","15,787.28","15,787.28","37,429,485,518"
"Nov 20, 2022","16,712.92","16,746.78","16,248.69","16,291.83","16,291.83","21,313,378,652"
"Nov 19, 2022","16,696.22","16,797.88","16,570.41","16,711.55","16,711.55","16,106,223,492"
"Nov 18, 2022","16,687.91","16,947.06","16,564.61","16,697.78","16,697.78","26,862,218,609"
"Nov 17, 2022","16,670.43","16,726.44","16,460.68","16,687.52","16,687.52","27,868,914,022"
"Nov 16, 2022","16,884.34","16,960.29","16,430.11","16,669.44","16,669.44","33,925,512,989"
"Nov 15, 2022","16,617.48","17,051.96","16,542.55","16,884.61","16,884.61","36,599,436,183"
"Nov 14, 2022","16,352.03","17,109.32","15,872.94","16,618.20","16,618.20","49,630,243,054"
"Nov 13, 2022","16,799.72","16,920.77","16,320.63","16,353.37","16,353.37","27,209,183,682"
"Nov 12, 2022","17,036.88","17,066.68","16,651.78","16,799.19","16,799.19","29,717,699,419"
"Nov 11, 2022","17,583.25","17,650.94","16,543.48","17,034.29","17,034.29","55,871,616,488"
"Nov 10, 2022","15,883.16","18,054.31","15,834.02","17,586.77","17,586.77","83,202,283,721"
"Nov 09, 2022","18,543.76","18,590.46","15,682.69","15,880.78","15,880.78","102,905,151,606"
"Nov 08, 2022","20,600.67","20,664.61","17,603.54","18,541.27","18,541.27","118,992,465,607"
"Nov 07, 2022","20,924.62","21,053.25","20,489.97","20,602.82","20,602.82","53,510,852,236"
"Nov 06, 2022","21,285.06","21,345.38","20,920.19","20,926.49","20,926.49","35,082,693,210"
"Nov 05, 2022","21,144.83","21,446.89","21,097.63","21,282.69","21,282.69","37,846,047,609"
"Nov 04, 2022","20,208.77","21,209.56","20,188.02","21,147.23","21,147.23","64,072,727,950"
"Nov 03, 2022","20,162.69","20,382.10","20,086.24","20,209.99","20,209.99","43,228,750,179"
"Nov 02, 2022","20,482.96","20,742.81","20,087.13","20,159.50","20,159.50","55,552,169,483"
"Nov 01, 2022","20,494.90","20,647.29","20,359.85","20,485.27","20,485.27","39,819,303,159"
"Oct 31, 2022","20,633.70","20,795.32","20,287.46","20,495.77","20,495.77","45,668,466,815"
"Oct 30, 2022","20,817.98","20,917.01","20,547.46","20,635.60","20,635.60","31,486,345,556"
"Oct 29, 2022","20,595.10","20,988.39","20,566.48","20,818.48","20,818.48","40,369,840,645"
"Oct 28, 2022","20,287.96","20,724.98","20,086.07","20,595.35","20,595.35","43,994,715,910"
"Oct 27, 2022","20,772.80","20,854.04","20,255.37","20,285.84","20,285.84","49,625,110,402"
"Oct 26, 2022","20,092.24","20,938.13","20,076.12","20,770.44","20,770.44","58,895,950,537"
"Oct 25, 2022","19,344.96","20,348.41","19,261.45","20,095.86","20,095.86","47,761,524,910"
"Oct 24, 2022","19,567.77","19,589.13","19,206.32","19,345.57","19,345.57","30,202,235,805"
"Oct 23, 2022","19,207.73","19,646.65","19,124.20","19,567.01","19,567.01","22,128,794,335"
"Oct 22, 2022","19,172.38","19,248.07","19,132.24","19,208.19","19,208.19","16,104,440,957"
"Oct 21, 2022","19,053.20","19,237.38","18,770.97","19,172.47","19,172.47","32,459,287,866"
"Oct 20, 2022","19,138.09","19,315.20","18,971.46","19,053.74","19,053.74","24,493,974,420"
"Oct 19, 2022","19,335.03","19,348.42","19,127.69","19,139.54","19,139.54","22,425,387,184"
"Oct 18, 2022","19,550.47","19,666.99","19,144.77","19,334.42","19,334.42","30,580,012,344"
"Oct 17, 2022","19,268.56","19,635.80","19,173.33","19,550.76","19,550.76","27,472,552,998"
