Date,Open,High,Low,Close,Adj Close,Volume
"Dec 31, 2022",245.79,247.58,245.11,246.35,246.35,"307,551,853"
"Dec 30, 2022",246.46,246.50,243.13,245.78,245.78,"342,300,809"
"Dec 29, 2022",244.17,246.60,243.58,246.48,246.48,"345,312,528"
"Dec 28, 2022",246.61,246.84,242.11,244.14,244.14,"414,698,978"
"Dec 27, 2022",244.20,247.68,242.56,246.60,246.60,"391,342,277"
"Dec 26, 2022",243.15,244.60,242.22,244.20,244.20,"276,115,280"
"Dec 25, 2022",244.64,245.73,241.70,243.14,243.14,"298,063,868"
"Dec 24, 2022",246.15,246.18,243.95,244.64,244.64,"280,627,376"
"Dec 23, 2022",245.89,248.27,244.45,246.15,246.15,"388,929,772"
"Dec 22, 2022",246.07,248.03,240.48,245.89,245.89,"543,367,184"
"Dec 21, 2022",251.69,251.69,245.76,246.05,246.05,"479,296,549"
"Dec 20, 2022",240.67,252.63,239.80,251.74,251.74,"667,866,377"
"Dec 19, 2022",251.24,252.93,238.65,240.66,240.66,"751,196,285"
"Dec 18, 2022",242.52,253.34,240.04,251.16,251.16,"925,487,110"
"Dec 17, 2022",231.22,243.58,221.00,242.53,242.53,"1,196,953,526"
"Dec 16, 2022",258.27,264.25,227.35,231.23,231.23,"1,264,053,277"
"Dec 15, 2022",268.15,268.15,257.08,258.27,258.27,"709,349,174"
"Dec 14, 2022",271.96,277.86,266.15,268.23,268.23,"1,026,628,081"
"Dec 13, 2022",276.28,280.69,257.44,271.95,271.95,"1,925,504,273"
"Dec 12, 2022",284.43,285.54,273.53,276.28,276.28,"974,762,447"
"Dec 11, 2022",288.14,290.94,284.19,284.39,284.39,"496,833,486"
"Dec 10, 2022",286.11,289.49,286.11,288.13,288.13,"439,735,200"
"Dec 09, 2022",290.52,291.57,285.58,286.09,286.09,"644,239,750"
"Dec 08, 2022",284.30,291.51,282.81,290.54,290.54,"646,645,162"
"Dec 07, 2022",290.38,290.49,282.02,284.28,284.28,"759,320,494"
"Dec 06, 2022",288.46,290.60,287.11,290.35,290.35,"610,280,514"
"Dec 05, 2022",292.21,296.91,286.54,288.47,288.47,"705,616,866"
"Dec 04, 2022",290.55,292.34,288.50,292.29,292.29,"633,441,009"
"Dec 03, 2022",293.50,294.04,289.70,290.56,290.56,"634,607,105"
"Dec 02, 2022",292.03,293.53,286.14,293.53,293.53,"854,253,818"
"Dec 01, 2022",300.75,301.48,290.55,292.02,292.02,"1,433,086,340"
"Nov 30, 2022",295.55,304.65,294.38,300.79,300.79,"1,009,620,336"
"Nov 29, 2022",293.49,304.82,289.76,295.50,295.50,"986,451,640"
"Nov 28, 2022",307.40,309.10,289.49,293.53,293.53,"1,154,829,072"
"Nov 27, 2022",311.37,316.22,307.16,307.43,307.43,"793,779,029"
"Nov 26, 2022",300.57,316.96,300.39,311.39,311.39,"1,221,554,861"
"Nov 25, 2022",300.33,304.16,294.91,300.58,300.58,"949,045,515"
"Nov 24, 2022",297.95,303.06,294.53,300.43,300.43,"1,219,177,799"
"Nov 23, 2022",266.42,300.02,265.03,297.85,297.85,"1,920,236,928"
"Nov 22, 2022",254.02,266.89,252.39,266.32,266.32,"800,429,058"
"Nov 21, 2022",264.24,264.74,250.66,254.17,254.17,"1,094,850,661"
"Nov 20, 2022",272.43,273.65,262.56,264.24,264.24,"720,361,905"
"Nov 19, 2022",273.89,274.26,269.65,272.40,272.40,"551,451,228"
"Nov 18, 2022",267.91,274.51,267.91,273.92,273.92,"685,307,608"
"Nov 17, 2022",272.09,273.22,264.40,267.91,267.91,"854,777,255"
"Nov 16, 2022",276.86,279.79,269.65,272.08,272.08,"908,816,092"
"Nov 15, 2022",278.63,281.88,274.09,276.87,276.87,"1,116,291,060"
"Nov 14, 2022",276.62,290.72,268.23,278.58,278.58,"1,541,330,420"
"Nov 13, 2022",282.37,286.08,274.05,276.58,276.58,"956,106,804"
"Nov 12, 2022",289.86,290.37,272.05,282.34,282.34,"1,189,401,392"
"Nov 11, 2022",303.99,304.91,280.63,289.82,289.82,"1,625,174,426"
"Nov 10, 2022",266.89,311.07,264.47,304.08,304.08,"2,461,275,687"
"Nov 09, 2022",327.82,332.06,261.73,266.85,266.85,"3,191,459,132"
"Nov 08, 2022",336.99,388.72,302.75,327.69,327.69,"5,390,603,525"
"Nov 07, 2022",338.90,344.04,327.68,337.01,337.01,"1,811,518,274"
"Nov 06, 2022",349.29,354.49,339.19,339.39,339.39,"1,143,505,730"
"Nov 05, 2022",354.42,360.31,347.02,349.25,349.25,"1,231,594,445"
"Nov 04, 2022",329.67,358.18,328.74,354.41,354.41,"1,938,879,952"
"Nov 03, 2022",320.17,338.64,318.50,329.72,329.72,"1,514,834,239"
"Nov 02, 2022",324.47,329.04,316.28,320.15,320.15,"1,411,029,750"
"Nov 01, 2022",326.28,334.21,317.94,324.58,324.58,"1,329,110,451"
"Oct 31, 2022",313.67,336.80,307.63,326.36,326.36,"2,168,405,759"
"Oct 30, 2022",304.23,318.07,302.53,313.75,313.75,"1,451,550,019"
"Oct 29, 2022",298.00,307.91,295.95,304.22,304.22,"1,397,370,727"
"Oct 28, 2022",286.84,300.72,286.14,298.01,298.01,"1,072,756,219"
"Oct 27, 2022",290.39,293.07,285.23,286.84,286.84,"874,526,054"
"Oct 26, 2022",284.36,291.70,284.16,290.38,290.38,"1,017,326,051"
"Oct 25, 2022",273.95,289.60,272.37,284.43,284.43,"940,035,659"
"Oct 24, 2022",276.00,276.88,271.88,273.98,273.98,"535,946,814"
"Oct 23, 2022",270.48,276.57,269.10,276.01,276.01,"483,765,500"
"Oct 22, 2022",270.03,271.01,268.57,270.48,270.48,"391,459,296"
"Oct 21, 2022",269.24,271.05,264.52,270.04,270.04,"593,811,687"
"Oct 20, 2022",271.95,273.29,267.86,269.27,269.27,"539,795,617"
"Oct 19, 2022",273.22,273.65,270.68,271.98,271.98,"497,761,035"
"Oct 18, 2022",275.53,275.82,270.53,273.21,273.21,"599,934,776"
"Oct 17, 2022",272.50,275.84,270.43,275.51,275.51,"594,844,795"
"Oct 16, 2022",268.41,273.74,268.36,272.52,272.52,"563,344,666"
"Oct 15, 2022",269.56,271.36,267.88,268.40,268.40,"491,674,298"
"Oct 14, 2022",271.85,276.53,268.34,269.57,269.57,"809,144,930"
"Oct 13, 2022",270.96,273.49,257.97,271.85,271.85,"1,124,480,167"
"Oct 12, 2022",271.41,272.74,269.66,270.97,270.97,"546,926,291"
"Oct 11, 2022",271.73,273.66,268.45,271.37,271.37,"584,301,468"
"Oct 10, 2022",278.24,279.06,271.81,271.81,271.81,"655,201,928"
"Oct 09, 2022",276.45,279.28,275.46,278.24,278.24,"570,350,814"
"Oct 08, 2022",282.99,282.99,276.05,276.47,276.47,"604,706,997"
"Oct 07, 2022",286.77,286.96,280.19,283.18,283.18,"952,606,066"
"Oct 06, 2022",294.16,297.70,279.80,286.63,286.63,"1,010,110,227"
"Oct 05, 2022",296.29,296.33,289.90,294.14,294.14,"656,837,388"
"Oct 04, 2022",287.02,297.99,286.53,296.30,296.30,"794,566,055"
"Oct 03, 2022",284.41,288.63,283.90,287.03,287.03,"700,566,674"
"Oct 02, 2022",282.90,287.38,279.95,284.43,284.43,"556,343,468"
"Oct 01, 2022",284.27,285.19,278.36,282.87,282.87,"593,375,648"
"Sep 30, 2022",283.83,289.54,280.89,284.19,284.19,"905,481,572"
"Sep 29, 2022",281.77,285.23,277.50,283.79,283.79,"800,888,080"
"Sep 28, 2022",272.33,283.34,266.98,281.78,281.78,"857,467,325"
"Sep 27, 2022",275.93,286.07,270.82,272.40,272.40,"927,431,127"
"Sep 26, 2022",274.14,276.45,271.19,275.93,275.93,"716,989,161"
"Sep 25, 2022",275.10,279.20,271.67,274.06,274.06,"640,533,920"
"Sep 24, 2022",276.63,284.63,275.14,275.14,275.14,"818,302,597"
"Sep 23, 2022",275.49,277.38,269.67,276.63,276.63,"869,618,433"
"Sep 22, 2022",264.61,275.91,264.03,275.50,275.50,"843,345,381"
"Sep 21, 2022",266.39,275.83,261.28,264.79,264.79,"1,057,177,278"
"Sep 20, 2022",272.13,273.20,265.69,266.37,266.37,"845,702,947"
"Sep 19, 2022",266.25,272.62,257.19,272.07,272.07,"1,074,224,923"
"Sep 18, 2022",279.22,279.62,264.74,266.31,266.31,"789,437,105"
"Sep 17, 2022",274.73,279.53,274.73,279.25,279.25,"560,951,664"
"Sep 16, 2022",270.81,276.26,269.13,274.65,274.65,"803,452,434"
"Sep 15, 2022",279.38,280.25,268.01,270.81,270.81,"1,080,164,338"
"Sep 14, 2022",277.41,282.15,274.83,279.39,279.39,"956,413,768"
