Date,Open,High,Low,Close,Adj Close,Volume
31-Dec-22,16603.67,16628.99,16517.52,16547.5,16547.5,"11,239,186,456"
30-Dec-22,16641.33,16643.43,16408.47,16602.59,16602.59,"15,929,162,910"
29-Dec-22,16552.32,16651.76,16508.68,16642.34,16642.34,"14,472,237,479"
28-Dec-22,16716.4,16768.17,16497.56,16552.57,16552.57,"17,005,713,920"
27-Dec-22,16919.29,16959.85,16642.07,16717.17,16717.17,"15,748,580,239"
26-Dec-22,16842.25,16920.12,16812.37,16919.8,16919.8,"11,886,957,804"
25-Dec-22,16847.51,16860.55,16755.25,16841.99,16841.99,"11,656,379,938"
24-Dec-22,16796.98,16864.7,16793.53,16847.76,16847.76,"9,744,636,213"
23-Dec-22,16829.64,16905.22,16794.46,16796.95,16796.95,"15,329,265,213"
22-Dec-22,16818.38,16866.67,16592.41,16830.34,16830.34,"16,441,573,050"
21-Dec-22,16904.53,16916.8,16755.91,16817.54,16817.54,"14,882,945,045"
20-Dec-22,16441.79,17012.98,16427.87,16906.3,16906.3,"22,722,096,615"
19-Dec-22,16759.04,16807.53,16398.14,16439.68,16439.68,"17,221,074,814"
18-Dec-22,16795.61,16815.39,16697.82,16757.98,16757.98,"10,924,354,698"
17-Dec-22,16646.98,16800.59,16614.03,16795.09,16795.09,"14,463,581,825"
16-Dec-22,17364.55,17505.53,16584.7,16647.48,16647.48,"24,031,608,960"
15-Dec-22,17813.64,17846.74,17322.59,17364.87,17364.87,"20,964,448,341"
14-Dec-22,17782.07,18318.53,17739.51,17815.65,17815.65,"25,534,481,470"
13-Dec-22,17206.44,17930.09,17111.76,17781.32,17781.32,"26,634,741,631"
12-Dec-22,17102.5,17212.56,16899.39,17206.44,17206.44,"19,617,581,341"
11-Dec-22,17129.71,17245.63,17091.82,17104.19,17104.19,"14,122,486,832"
10-Dec-22,17134.22,17216.83,17120.68,17128.72,17128.72,"12,706,781,969"
09-Dec-22,17232.15,17280.55,17100.84,17133.15,17133.15,"20,328,426,366"
08-Dec-22,16847.35,17267.92,16788.78,17233.47,17233.47,"20,496,603,770"
07-Dec-22,17089.51,17109.38,16750.56,16848.13,16848.13,"19,675,404,389"
06-Dec-22,16975.24,17091.86,16939.92,17089.5,17089.5,"19,889,922,369"
