Date,Open,High,Low,Close,Adj Close,Volume
"Dec 31, 2022","1,199.36","1,205.09","1,194.20","1,196.77","1,196.77","3,018,513,333"
"Dec 30, 2022","1,201.57","1,202.03","1,187.46","1,199.23","1,199.23","4,055,668,253"
"Dec 29, 2022","1,190.01","1,204.14","1,188.36","1,201.60","1,201.60","4,132,233,940"
"Dec 28, 2022","1,212.74","1,213.13","1,185.70","1,189.99","1,189.99","4,991,669,631"
"Dec 27, 2022","1,226.99","1,230.42","1,205.90","1,212.79","1,212.79","4,091,530,737"
"Dec 26, 2022","1,218.92","1,226.97","1,214.34","1,226.97","1,226.97","3,282,098,400"
"Dec 25, 2022","1,221.17","1,223.52","1,203.72","1,218.96","1,218.96","3,942,720,070"
"Dec 24, 2022","1,220.12","1,224.91","1,216.34","1,221.15","1,221.15","2,626,153,345"
"Dec 23, 2022","1,218.08","1,227.00","1,215.99","1,220.16","1,220.16","4,835,831,923"
"Dec 22, 2022","1,213.67","1,221.99","1,187.13","1,218.18","1,218.18","5,297,471,739"
"Dec 21, 2022","1,217.59","1,218.19","1,206.44","1,213.60","1,213.60","4,217,182,733"
"Dec 20, 2022","1,167.88","1,224.09","1,165.60","1,217.70","1,217.70","6,684,951,715"
"Dec 19, 2022","1,184.76","1,192.92","1,160.38","1,167.61","1,167.61","4,943,628,091"
"Dec 18, 2022","1,188.13","1,194.21","1,176.19","1,184.72","1,184.72","3,350,092,519"
"Dec 17, 2022","1,168.07","1,189.05","1,165.41","1,188.15","1,188.15","5,077,258,586"
"Dec 16, 2022","1,266.46","1,278.16","1,162.18","1,168.26","1,168.26","9,297,811,507"
"Dec 15, 2022","1,309.19","1,311.07","1,262.69","1,266.35","1,266.35","6,032,859,783"
"Dec 14, 2022","1,320.69","1,346.17","1,305.83","1,309.33","1,309.33","7,830,915,428"
"Dec 13, 2022","1,274.66","1,341.44","1,258.47","1,320.55","1,320.55","8,812,883,119"
"Dec 12, 2022","1,263.57","1,275.61","1,243.48","1,274.62","1,274.62","5,151,109,364"
"Dec 11, 2022","1,266.42","1,281.78","1,260.66","1,263.87","1,263.87","3,362,005,848"
"Dec 10, 2022","1,264.38","1,279.53","1,262.12","1,266.38","1,266.38","3,282,499,999"
"Dec 09, 2022","1,281.08","1,290.06","1,260.82","1,264.28","1,264.28","5,706,183,865"
"Dec 08, 2022","1,232.45","1,286.23","1,226.36","1,281.12","1,281.12","6,227,269,815"
"Dec 07, 2022","1,271.55","1,272.69","1,224.45","1,232.44","1,232.44","5,752,205,180"
"Dec 06, 2022","1,259.85","1,271.92","1,247.63","1,271.65","1,271.65","5,089,212,680"
"Dec 05, 2022","1,280.00","1,302.24","1,252.47","1,259.68","1,259.68","6,120,359,523"
"Dec 04, 2022","1,243.22","1,281.49","1,242.91","1,280.26","1,280.26","5,174,128,454"
"Dec 03, 2022","1,294.46","1,299.84","1,241.43","1,243.33","1,243.33","5,672,609,405"
"Dec 02, 2022","1,276.33","1,294.30","1,269.24","1,294.30","1,294.30","6,213,645,709"
"Dec 01, 2022","1,295.77","1,296.00","1,267.71","1,276.27","1,276.27","6,857,935,276"
"Nov 30, 2022","1,216.93","1,302.04","1,215.50","1,295.69","1,295.69","9,836,925,304"
"Nov 29, 2022","1,169.87","1,222.16","1,163.48","1,216.90","1,216.90","7,639,405,818"
"Nov 28, 2022","1,194.96","1,198.74","1,156.06","1,170.09","1,170.09","7,275,411,870"
"Nov 27, 2022","1,205.91","1,220.35","1,195.04","1,195.13","1,195.13","4,486,976,868"
"Nov 26, 2022","1,198.79","1,227.04","1,198.10","1,205.90","1,205.90","5,074,160,558"
"Nov 25, 2022","1,203.80","1,203.80","1,174.82","1,198.93","1,198.93","5,483,308,196"
"Nov 24, 2022","1,183.35","1,211.63","1,180.38","1,203.98","1,203.98","9,706,372,376"
"Nov 23, 2022","1,135.42","1,185.00","1,130.02","1,183.20","1,183.20","11,242,676,044"
"Nov 22, 2022","1,107.90","1,136.44","1,081.14","1,135.17","1,135.17","12,040,670,755"
"Nov 21, 2022","1,142.40","1,142.40","1,084.86","1,108.35","1,108.35","14,080,099,208"
"Nov 20, 2022","1,218.44","1,224.08","1,137.93","1,142.47","1,142.47","9,651,002,684"
"Nov 19, 2022","1,212.22","1,227.84","1,200.48","1,218.43","1,218.43","5,978,745,776"
"Nov 18, 2022","1,200.80","1,226.74","1,200.80","1,212.30","1,212.30","7,979,913,378"
"Nov 17, 2022","1,215.85","1,224.97","1,189.15","1,200.81","1,200.81","9,723,646,871"
"Nov 16, 2022","1,251.81","1,264.49","1,192.99","1,215.60","1,215.60","11,939,561,598"
"Nov 15, 2022","1,241.68","1,283.20","1,238.69","1,251.74","1,251.74","11,798,011,594"
"Nov 14, 2022","1,221.90","1,284.22","1,178.43","1,241.60","1,241.60","15,028,035,663"
"Nov 13, 2022","1,255.44","1,271.71","1,208.52","1,221.82","1,221.82","10,717,455,214"
"Nov 12, 2022","1,287.44","1,288.15","1,242.15","1,255.27","1,255.27","10,964,962,767"
"Nov 11, 2022","1,298.88","1,302.30","1,211.33","1,287.22","1,287.22","20,920,539,099"
"Nov 10, 2022","1,100.11","1,341.79","1,093.12","1,299.46","1,299.46","28,581,002,122"
"Nov 09, 2022","1,333.12","1,335.74","1,083.29","1,100.17","1,100.17","38,864,492,427"
"Nov 08, 2022","1,568.33","1,574.80","1,259.44","1,332.84","1,332.84","42,048,003,440"
"Nov 07, 2022","1,572.02","1,604.48","1,550.42","1,568.59","1,568.59","15,279,963,349"
"Nov 06, 2022","1,627.90","1,634.13","1,572.23","1,572.23","1,572.23","11,632,744,705"
"Nov 05, 2022","1,645.16","1,660.49","1,625.96","1,627.97","1,627.97","11,006,973,190"
"Nov 04, 2022","1,531.40","1,661.33","1,529.27","1,645.09","1,645.09","20,806,964,347"
"Nov 03, 2022","1,519.72","1,556.76","1,517.10","1,531.54","1,531.54","14,248,351,007"
"Nov 02, 2022","1,579.50","1,613.41","1,507.24","1,519.71","1,519.71","23,254,218,281"
"Nov 01, 2022","1,572.65","1,606.61","1,568.10","1,579.70","1,579.70","14,507,311,208"
"Oct 31, 2022","1,590.48","1,630.45","1,555.92","1,572.71","1,572.71","19,306,919,714"
"Oct 30, 2022","1,619.70","1,637.04","1,579.49","1,590.78","1,590.78","13,930,073,427"
"Oct 29, 2022","1,555.27","1,652.38","1,549.98","1,619.70","1,619.70","21,618,154,775"
"Oct 28, 2022","1,514.32","1,568.63","1,493.87","1,555.48","1,555.48","19,974,623,205"
"Oct 27, 2022","1,566.84","1,574.40","1,510.82","1,514.37","1,514.37","22,813,499,245"
"Oct 26, 2022","1,461.13","1,584.64","1,460.43","1,566.57","1,566.57","32,705,548,427"
"Oct 25, 2022","1,344.71","1,509.99","1,336.98","1,461.67","1,461.67","25,367,291,294"
"Oct 24, 2022","1,363.49","1,368.43","1,327.85","1,345.00","1,345.00","13,092,820,173"
"Oct 23, 2022","1,314.25","1,367.76","1,302.91","1,363.45","1,363.45","9,909,510,925"
"Oct 22, 2022","1,299.90","1,317.10","1,295.95","1,314.30","1,314.30","7,175,324,564"
"Oct 21, 2022","1,283.19","1,305.08","1,260.67","1,299.95","1,299.95","10,412,565,245"
"Oct 20, 2022","1,285.66","1,307.86","1,275.32","1,283.20","1,283.20","9,009,111,996"
"Oct 19, 2022","1,310.56","1,312.44","1,283.97","1,285.74","1,285.74","8,350,692,785"
"Oct 18, 2022","1,331.67","1,339.09","1,291.66","1,310.45","1,310.45","10,416,747,806"
"Oct 17, 2022","1,306.31","1,335.65","1,297.45","1,331.71","1,331.71","9,401,189,650"
"Oct 16, 2022","1,275.01","1,312.63","1,275.01","1,306.30","1,306.30","7,491,625,206"
"Oct 15, 2022","1,297.31","1,300.75","1,268.47","1,274.87","1,274.87","6,798,512,624"
"Oct 14, 2022","1,288.05","1,339.74","1,285.38","1,297.42","1,297.42","13,113,767,755"
"Oct 13, 2022","1,294.92","1,297.56","1,209.28","1,288.12","1,288.12","17,499,038,202"
"Oct 12, 2022","1,279.73","1,303.08","1,277.53","1,294.91","1,294.91","8,355,638,578"
"Oct 11, 2022","1,291.11","1,296.27","1,272.74","1,279.58","1,279.58","9,274,845,260"
"Oct 10, 2022","1,322.62","1,335.66","1,291.34","1,291.34","1,291.34","8,794,491,050"
"Oct 09, 2022","1,315.46","1,327.67","1,309.34","1,322.60","1,322.60","5,486,230,123"
"Oct 08, 2022","1,332.37","1,335.95","1,307.07","1,315.50","1,315.50","5,804,676,208"
"Oct 07, 2022","1,351.84","1,359.33","1,321.75","1,332.52","1,332.52","10,061,619,355"
"Oct 06, 2022","1,352.81","1,380.40","1,349.45","1,351.71","1,351.71","12,033,514,861"
"Oct 05, 2022","1,361.97","1,362.45","1,320.86","1,352.84","1,352.84","9,774,451,820"
"Oct 04, 2022","1,323.28","1,364.97","1,320.08","1,362.13","1,362.13","10,139,774,963"
"Oct 03, 2022","1,276.16","1,326.55","1,271.15","1,323.44","1,323.44","10,153,070,907"
"Oct 02, 2022","1,311.75","1,316.33","1,275.34","1,276.09","1,276.09","7,578,351,650"
"Oct 01, 2022","1,328.19","1,332.52","1,306.10","1,311.64","1,311.64","6,227,961,237"
"Sep 30, 2022","1,335.65","1,368.74","1,320.38","1,327.98","1,327.98","14,250,100,093"
"Sep 29, 2022","1,337.55","1,348.11","1,293.19","1,335.65","1,335.65","13,796,915,736"
"Sep 28, 2022","1,329.54","1,351.96","1,267.87","1,337.41","1,337.41","18,994,979,566"
"Sep 27, 2022","1,335.34","1,396.89","1,308.99","1,330.13","1,330.13","17,870,598,937"
"Sep 26, 2022","1,294.39","1,335.53","1,282.05","1,335.32","1,335.32","16,034,549,271"
"Sep 25, 2022","1,317.94","1,333.37","1,275.63","1,294.22","1,294.22","11,802,651,633"
"Sep 24, 2022","1,328.24","1,346.26","1,312.64","1,317.99","1,317.99","12,098,209,717"
"Sep 23, 2022","1,327.48","1,353.29","1,270.20","1,328.26","1,328.26","18,771,106,339"
"Sep 22, 2022","1,251.57","1,336.16","1,240.97","1,327.68","1,327.68","18,461,527,259"
"Sep 21, 2022","1,324.22","1,384.48","1,229.43","1,252.61","1,252.61","20,643,507,800"
"Sep 20, 2022","1,377.62","1,381.97","1,319.20","1,324.39","1,324.39","14,722,317,220"
"Sep 19, 2022","1,335.27","1,388.27","1,287.42","1,377.54","1,377.54","18,712,714,223"
"Sep 18, 2022","1,469.71","1,469.71","1,331.49","1,335.33","1,335.33","15,762,284,723"
"Sep 17, 2022","1,432.88","1,473.06","1,415.04","1,469.74","1,469.74","10,798,098,671"
"Sep 16, 2022","1,471.93","1,480.56","1,415.58","1,432.45","1,432.45","16,764,804,299"
"Sep 15, 2022","1,635.08","1,648.95","1,466.14","1,471.69","1,471.69","26,946,275,878"
"Sep 14, 2022","1,574.86","1,642.16","1,564.03","1,634.76","1,634.76","17,897,150,206"
"Sep 13, 2022","1,713.96","1,745.78","1,564.03","1,580.79","1,580.79","23,066,821,734"
"Sep 12, 2022","1,762.08","1,778.16","1,698.29","1,713.77","1,713.77","17,688,391,310"
"Sep 11, 2022","1,775.98","1,782.73","1,730.16","1,761.80","1,761.80","12,464,301,922"
"Sep 10, 2022","1,718.96","1,784.50","1,710.30","1,776.20","1,776.20","13,130,928,217"
"Sep 09, 2022","1,635.19","1,735.81","1,632.84","1,719.09","1,719.09","20,242,323,690"
"Sep 08, 2022","1,629.81","1,655.06","1,603.06","1,635.35","1,635.35","17,621,046,717"
"Sep 07, 2022","1,560.91","1,651.05","1,500.01","1,629.91","1,629.91","19,560,363,854"
"Sep 06, 2022","1,617.24","1,680.60","1,561.75","1,561.75","1,561.75","22,946,059,125"
"Sep 05, 2022","1,577.88","1,621.66","1,559.78","1,617.18","1,617.18","13,060,541,168"
"Sep 04, 2022","1,556.90","1,578.01","1,543.70","1,577.64","1,577.64","8,884,144,998"
"Sep 03, 2022","1,577.21","1,579.45","1,541.67","1,556.87","1,556.87","9,516,825,994"
"Sep 02, 2022","1,586.02","1,643.18","1,551.88","1,577.22","1,577.22","17,708,478,709"
"Sep 01, 2022","1,553.76","1,593.08","1,520.19","1,586.18","1,586.18","16,434,276,817"
"Aug 31, 2022","1,524.29","1,612.36","1,524.29","1,553.68","1,553.68","20,591,680,941"
"Aug 30, 2022","1,553.19","1,600.46","1,480.83","1,523.84","1,523.84","21,835,784,470"
"Aug 29, 2022","1,430.44","1,556.31","1,427.73","1,553.04","1,553.04","17,965,837,488"
"Aug 28, 2022","1,491.21","1,505.79","1,430.55","1,430.55","1,430.55","12,823,572,918"
"Aug 27, 2022","1,508.16","1,517.15","1,454.28","1,491.40","1,491.40","18,120,831,899"
"Aug 26, 2022","1,696.32","1,698.56","1,498.77","1,507.78","1,507.78","26,713,710,143"
"Aug 25, 2022","1,657.34","1,718.18","1,656.86","1,696.46","1,696.46","14,818,795,695"
"Aug 24, 2022","1,662.70","1,686.56","1,610.10","1,657.06","1,657.06","16,780,932,907"
"Aug 23, 2022","1,622.94","1,666.68","1,569.43","1,662.77","1,662.77","18,322,041,914"
"Aug 22, 2022","1,619.17","1,622.78","1,535.01","1,622.51","1,622.51","18,557,078,599"
"Aug 21, 2022","1,576.54","1,640.94","1,569.05","1,619.32","1,619.32","15,849,221,752"
"Aug 20, 2022","1,612.65","1,652.22","1,534.30","1,577.00","1,577.00","18,334,580,263"
"Aug 19, 2022","1,847.10","1,847.10","1,611.34","1,612.99","1,612.99","25,906,358,731"
"Aug 18, 2022","1,833.72","1,876.38","1,826.96","1,847.01","1,847.01","14,999,352,229"
"Aug 17, 2022","1,877.93","1,951.68","1,823.53","1,833.00","1,833.00","20,308,508,124"
"Aug 16, 2022","1,902.83","1,910.75","1,862.27","1,878.14","1,878.14","15,637,578,930"
"Aug 15, 2022","1,936.76","2,007.21","1,881.86","1,904.23","1,904.23","20,349,931,313"
"Aug 14, 2022","1,981.78","2,022.79","1,919.01","1,936.80","1,936.80","14,062,754,456"
"Aug 13, 2022","1,957.33","2,013.76","1,948.60","1,981.34","1,981.34","16,038,975,216"
"Aug 12, 2022","1,880.90","1,957.55","1,860.08","1,957.25","1,957.25","17,168,141,904"
"Aug 11, 2022","1,851.83","1,927.94","1,851.83","1,881.22","1,881.22","23,826,986,482"
"Aug 10, 2022","1,702.91","1,869.40","1,665.09","1,851.74","1,851.74","23,512,477,984"
"Aug 09, 2022","1,776.07","1,786.12","1,675.85","1,703.03","1,703.03","16,368,619,692"
"Aug 08, 2022","1,699.69","1,806.89","1,697.41","1,775.52","1,775.52","16,841,424,404"
"Aug 07, 2022","1,691.78","1,724.79","1,672.91","1,699.35","1,699.35","10,252,090,340"
"Aug 06, 2022","1,732.66","1,744.33","1,691.66","1,691.66","1,691.66","11,757,911,705"
"Aug 05, 2022","1,607.52","1,732.25","1,606.50","1,732.25","1,732.25","18,546,491,876"
"Aug 04, 2022","1,618.89","1,658.51","1,585.33","1,608.21","1,608.21","14,467,440,626"
"Aug 03, 2022","1,633.05","1,678.10","1,595.63","1,618.87","1,618.87","16,786,218,830"
"Aug 02, 2022","1,634.65","1,672.63","1,567.85","1,632.95","1,632.95","20,426,082,309"
"Aug 01, 2022","1,681.45","1,700.17","1,613.42","1,635.20","1,635.20","16,191,371,176"
"Jul 31, 2022","1,695.88","1,745.88","1,672.61","1,681.52","1,681.52","14,200,735,370"
"Jul 30, 2022","1,727.06","1,738.02","1,678.11","1,695.97","1,695.97","15,576,977,870"
"Jul 29, 2022","1,725.62","1,759.88","1,662.79","1,727.41","1,727.41","23,249,531,113"
"Jul 28, 2022","1,636.23","1,774.58","1,604.89","1,725.47","1,725.47","27,231,399,966"
"Jul 27, 2022","1,443.73","1,636.80","1,423.62","1,636.23","1,636.23","23,007,524,016"
"Jul 26, 2022","1,445.15","1,445.15","1,362.95","1,441.81","1,441.81","18,238,563,509"
"Jul 25, 2022","1,599.16","1,605.34","1,445.38","1,445.38","1,445.38","20,585,056,021"
"Jul 24, 2022","1,549.22","1,654.43","1,548.67","1,599.48","1,599.48","17,217,849,557"
"Jul 23, 2022","1,536.46","1,591.63","1,495.68","1,549.30","1,549.30","14,998,811,383"
"Jul 22, 2022","1,576.75","1,641.21","1,523.64","1,537.41","1,537.41","18,926,100,582"
"Jul 21, 2022","1,520.37","1,595.76","1,472.19","1,576.75","1,576.75","20,009,556,587"
"Jul 20, 2022","1,542.95","1,612.65","1,500.80","1,520.20","1,520.20","22,942,708,340"
"Jul 19, 2022","1,578.38","1,607.03","1,501.80","1,542.98","1,542.98","27,753,529,276"
"Jul 18, 2022","1,338.81","1,578.72","1,338.81","1,578.72","1,578.72","27,440,420,623"
"Jul 17, 2022","1,353.21","1,378.42","1,329.76","1,338.64","1,338.64","16,079,711,737"
"Jul 16, 2022","1,232.79","1,377.94","1,195.61","1,352.63","1,352.63","18,364,013,796"
"Jul 15, 2022","1,191.67","1,275.78","1,182.90","1,233.13","1,233.13","17,411,448,225"
"Jul 14, 2022","1,113.52","1,202.95","1,077.41","1,191.53","1,191.53","16,688,640,823"
"Jul 13, 2022","1,038.19","1,113.59","1,019.22","1,113.59","1,113.59","18,302,588,147"
"Jul 12, 2022","1,097.26","1,097.26","1,038.14","1,038.19","1,038.19","12,583,282,453"
"Jul 11, 2022","1,168.14","1,169.19","1,095.00","1,097.24","1,097.24","12,064,180,410"
"Jul 10, 2022","1,216.90","1,216.90","1,157.18","1,168.40","1,168.40","10,984,558,039"
"Jul 09, 2022","1,222.31","1,228.77","1,209.38","1,216.98","1,216.98","8,821,353,104"
"Jul 08, 2022","1,237.58","1,262.89","1,200.63","1,222.51","1,222.51","16,315,929,082"
"Jul 07, 2022","1,186.96","1,246.89","1,165.62","1,237.59","1,237.59","14,230,795,894"
